台帳番号,緯度,経度,エリア,行政区,所在地
G2-68,35.1236800362417,137.028850322392,南西地区,浅田区,日進市浅田町下小深田12-22
G2-7,35.1246639929163,137.020779144273,北西地区,浅田区,日進市浅田町西田面１４４番地（道路上）
G2-8,35.1240628131921,137.023806401294,南西地区,浅田区,日進市浅田町茶園（公園敷地内）
G2-9,35.12520822086,137.026059177244,南西地区,浅田区,日進市浅田町上ノ山（浅田墓地敷地内）
G20-01,35.1425264411176,137.026882227212,北西地区,香久山区,ピアゴ香久山店（香久山5-1801）
G20-02,35.1461556085653,137.024032959508,北西地区,香久山区,山田新聞店（香久山3-1704-1）
G20-03,35.1447487592507,137.025379713301,北西地区,香久山区,香久山郵便局（香久山3-1609）
G20-04,35.143907921979,137.029093563005,北西地区,香久山区,岩崎台区・香久山福祉会館（香久山4-201-14）
G20-05,35.1387364458842,137.025851337656,北西地区,香久山区,北部浄化センター（香久山2-501）
G20-06,35.1385320975443,137.025783102463,北西地区,香久山区,香久山会館（香久山2-2835）
G20-07,35.1432021322581,137.026538116982,北西地区,香久山区,ジョーシン香久山（香久山4-201-3）
G20-1,35.1459743652973,137.021183963914,北西地区,香久山区,日進市香久山3丁目2207（道路上）
G20-10,35.1415355523946,137.024162066307,北西地区,香久山区,日進市香久山2丁目2818（そよかぜ公園敷地内）
G20-11,35.1405265311787,137.023833391658,北西地区,香久山区,日進市香久山2丁目3323（梅森団地公園敷地内）
G20-12,35.1423408550395,137.026122564199,北西地区,香久山区,日進市香久山2丁目2806（道路上）
G20-13,35.1411337976073,137.02611070165,北西地区,香久山区,日進市香久山2丁目2813（こでまりの広場敷地内）
G20-14,35.1404784423644,137.026110840511,北西地区,香久山区,日進市香久山2丁目1004（集合住宅エコサーブK敷地内）
G20-15,35.1409702004314,137.026904202443,北西地区,香久山区,日進市香久山5丁目1911（道路上）
G20-16,35.1393139235802,137.027104675814,北西地区,香久山区,日進市香久山１丁目3801（もみじの広場敷地内）
G20-17,35.1376468472487,137.026150384819,北西地区,香久山区,日進市香久山2丁目2835（香久山テニスコート敷地内）
G20-18,35.1363158876466,137.026180325286,北西地区,香久山区,日進市香久山2丁目2838（うめの広場敷地内）
G20-19,35.1440280162369,137.02990844979,北西地区,香久山区,日進市香久山4丁目1315（はぎの広場敷地内）
G20-2,35.1461592269777,137.023967103453,北西地区,香久山区,日進市香久山3丁目2202（道路上）
G20-20,35.1419492951026,137.030572036487,北西地区,香久山区,日進市香久山5丁目1905（すずかぜ公園敷地内）
G20-21,35.1399459427988,137.031407648448,北西地区,香久山区,日進市香久山1丁目3934（さざんかの広場敷地内）
G20-22,35.1387472913543,137.029730285562,北西地区,香久山区,日進市香久山1丁目3916（もくせいの広場敷地内）
G20-23,35.1373399416647,137.027355283825,北西地区,香久山区,日進市香久山1丁目3927（まんさくの広場敷地内）
G20-24,35.1375926459429,137.029115271575,北西地区,香久山区,日進市香久山1丁目3930（ひだまり公園場敷地内）
G20-25,35.1379405247059,137.031688165116,北西地区,香久山区,日進市香久山1丁目3949（つばきの広場敷地内）
G20-26,35.1401337876859,137.031634283131,北西地区,香久山区,日進市香久山5丁目1939（新ラ田１号緑地）
G20-27,35.141490898959,137.031855259843,北西地区,香久山区,日進市香久山5丁目1938（新ラ田ケ丘公園敷地内）
G20-28,35.1399798095038,137.030336956446,北西地区,香久山区,日進市香久山5丁目201-4（環境課管理）
G20-29,35.139826037871,137.02570229853,北西地区,香久山区,日進市香久山2丁目2829（つつじの広場敷地内）
G20-3,35.1451453827482,137.023523514891,北西地区,香久山区,日進市香久山3丁目2216（あじさいの広場敷地内）
G20-30,35.1467115040801,137.02694805542,北西地区,香久山区,日進市香久山4丁目1305（さるすべりの広場敷地内）
G20-32,35.1382736985857,137.033642176481,北西地区,香久山区,日進市香久山一丁目201番9
G20-33,35.1370364304634,137.027990850797,北西地区,香久山区,日進市香久山一丁目901-4
G20-34,35.1416322186216,137.025342847565,北西地区,香久山区,日進市香久山二丁目1712-4
G20-35,35.1443575151537,137.021403042985,北西地区,香久山区,日進市香久山三丁目2219
G20-36,35.1412344702784,137.027814068613,北西地区,香久山区,日進市香久山五丁目1918
G20-4,35.1456709917005,137.02854898524,北西地区,香久山区,日進市香久山4丁目1308-1（水晶山緑地敷地内）
G20-5,35.1441505011661,137.023565863134,北西地区,香久山区,日進市香久山3丁目2228（こもれび公園敷地内）
G20-6,35.1446269315993,137.025344036402,北西地区,香久山区,日進市香久山3丁目2223（くちなしの広場敷地内）
G20-7,35.1427231793076,137.023062985798,北西地区,香久山区,日進市香久山2丁目2821（１号緑地敷地内）
G20-8,35.1431690736738,137.025859507106,北西地区,香久山区,日進市香久山3丁目2225（道路上）
G21-01,35.1212848407981,137.019469672072,南西地区,赤池区,ピアゴ赤池店（赤池2-601）
G21-02,35.1193254362682,137.012364087423,南西地区,赤池区,永野新聞舗（赤池4-102）
G21-03,35.1221841835373,137.018919467245,南西地区,赤池区,赤池郵便局（赤池1-1307）
G21-04,35.1205479975886,137.014653842139,南西地区,赤池区,赤池公民館（赤池1-2202）
G21-04,35.1203221608372,137.014277061884,南西地区,赤池区,赤池公民館（赤池1-2202）
G21-05,35.117711528026,137.018257205898,南西地区,赤池区,メグリア赤池店（赤池3-2001）
G21-06,35.1187165539797,137.017737648837,南西地区,赤池区,たかねやま公園（赤池3-1501）
G21-1,35.1208720811722,137.0121668646,南西地区,赤池区,日進市5丁目2144（道路上）
G21-10,35.1203844250652,137.019731535724,南西地区,赤池区,日進市4丁目915
G21-11,35.1201718497366,137.019201776018,南西地区,赤池区,日進市3丁目1222（道路上）
G21-12,35.1184439468676,137.018984367845,南西地区,赤池区,日進市3丁目（道路上）
G21-13,35.118591079075,137.01526967346,南西地区,赤池区,日進市3丁目（調整池敷地内）
G21-14,35.1221561585848,137.014698801026,南西地区,赤池区,日進市1丁目3105（赤池中央歩道橋下）
G21-15,35.1217958363862,137.017447219469,南西地区,赤池区,日進市1丁目3138（道路上）
G21-16,35.1198170129714,137.018442863921,南西地区,赤池区,日進市赤池3丁目（平池公園遊歩道敷地内）
G21-17,35.1215985188575,137.015636377605,南西地区,赤池区,日進市赤池1丁目3110（道路上）
G21-18,35.1186848056023,137.017797061185,南西地区,赤池区,日進市赤池三丁目
G21-19,35.1198554186893,137.017417404794,南西地区,赤池区,日進市赤池3丁目（道路上）
G21-2,35.1203165700809,137.014347399534,南西地区,赤池区,日進市1丁目220（赤池公民館敷地内）
G21-20,35.1216243688489,137.011128292864,南西地区,赤池区,日進市5丁目301-6
G21-3,35.1184933156968,137.013582477043,南西地区,赤池区,日進市4丁目1406（丸根公園敷地内）
G21-4,35.1220177722295,137.018105885765,南西地区,赤池区,日進市1丁目（道路上）
G21-5,35.1216372269552,137.017778304439,南西地区,赤池区,日進市1丁目1503（名古屋市交通局事務所敷地）
G21-6,35.1208817114724,137.017114034325,南西地区,赤池区,日進市1丁目3165（道路上）
G21-7,35.1199192470776,137.015602503276,南西地区,赤池区,日進市4丁目1201（道路上）
G21-8,35.1214843041693,137.020041155428,南西地区,赤池区,日進市赤池2丁目1115（前田公園北側道路上）
